STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:123418,GOSHEN 3 SW IN US,20090601 00:15,4.61,0
COOP:123418,GOSHEN 3 SW IN US,20090601 06:30,4.62,0.1
COOP:123418,GOSHEN 3 SW IN US,20090601 09:15,0.63,-9999
COOP:123418,GOSHEN 3 SW IN US,20090602 00:45,0.65,0.1
COOP:123418,GOSHEN 3 SW IN US,20090602 11:15,0.66,0.1
COOP:123418,GOSHEN 3 SW IN US,20090611 07:00,0.67,0.1
COOP:123418,GOSHEN 3 SW IN US,20090611 08:15,0.71,0.4
COOP:123418,GOSHEN 3 SW IN US,20090611 08:30,0.73,0.2
COOP:123418,GOSHEN 3 SW IN US,20090611 08:45,0.74,0.1
COOP:123418,GOSHEN 3 SW IN US,20090611 09:15,0.75,0.1
COOP:123418,GOSHEN 3 SW IN US,20090611 11:30,0.76,0.1
COOP:123418,GOSHEN 3 SW IN US,20090611 16:00,0.77,0.1
COOP:123418,GOSHEN 3 SW IN US,20090613 14:00,0.78,0.1
COOP:123418,GOSHEN 3 SW IN US,20090616 16:00,0.79,0.1
COOP:123418,GOSHEN 3 SW IN US,20090616 18:00,0.8,0.1
COOP:123418,GOSHEN 3 SW IN US,20090616 19:00,0.81,0.1
COOP:123418,GOSHEN 3 SW IN US,20090617 03:45,0.82,0.1
COOP:123418,GOSHEN 3 SW IN US,20090619 05:15,0.84,0.2
COOP:123418,GOSHEN 3 SW IN US,20090619 06:45,0.85,0.1
COOP:123418,GOSHEN 3 SW IN US,20090619 09:15,0.86,0.1
COOP:123418,GOSHEN 3 SW IN US,20090619 10:30,0.87,0.1
COOP:123418,GOSHEN 3 SW IN US,20090619 15:15,0.88,0.1
COOP:123418,GOSHEN 3 SW IN US,20090619 22:30,0.89,0.1
COOP:123418,GOSHEN 3 SW IN US,20090619 22:45,0.9,0.1
COOP:123418,GOSHEN 3 SW IN US,20090619 23:30,0.91,0.1
COOP:123418,GOSHEN 3 SW IN US,20090701 00:15,0.91,0
COOP:123418,GOSHEN 3 SW IN US,20090702 19:30,4.92,0.1
COOP:123418,GOSHEN 3 SW IN US,20090703 22:30,4.91,-9999
COOP:123418,GOSHEN 3 SW IN US,20090704 16:15,4.92,0.1
