STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/6/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/7/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/8/2009,0.05,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/9/2009,0,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/10/2009,0.13,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/11/2009,0.48,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/12/2009,0.41,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/13/2009,0.03,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/14/2009,0.02,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/15/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/16/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/17/2009,0.76,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/18/2009,0.11,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/19/2009,0.34,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/20/2009,0.29,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/21/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/22/2009,0.16,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/23/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/24/2009,0,0,,,,,,,,,,,,
