"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-18","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-19","0.09",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-20","0.45",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-23","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-24","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-25","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-26","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-27","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-28","0.65",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-29","0.09",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-30","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-01","0.51",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-02","0.06",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-03","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-04","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-05","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-06","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-07","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-08","0.22",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-09","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-10","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-11","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-12","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-13","0.03",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-14","0.65",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-15","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-16","1.33",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-17","0.03",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-18","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-19","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-20","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-21","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-22","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-23","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-24","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-25","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-26","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-27","1.42",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-28","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-29","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-30","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-05-31","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-01","0.21",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-02","0.58",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-03","0.04",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-04","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-05","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-06","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-07","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-08","0.03",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-09","0.03",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-10","0.02",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-11","0.15",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-12","0.36",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-13","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-14","0.04",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-15","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-16","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-17","0.31",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-18","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-19","0.23",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-20","0.50",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-21","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-22","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-23","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-24","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-25","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-26","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-06-27","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-07","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-08","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-09","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-10","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-11","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-12","0.55",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-13","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-14","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-15","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-16","0.10",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-17","0.55",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-18","0.10",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-19","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-20","0.04",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-21","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-22","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-23","0.29",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-24","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-25","0.79",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-26","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-27","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-28","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-29","0.23",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-30","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-07-31","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-01","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-02","0.05",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-03","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-04","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-05","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-06","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-07","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-08","0.13",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-09","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-10","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-11","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-12","0.02",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-13","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-14","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-15","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-16","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-17","4.23",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-18","0.60",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-19","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-20","0.15",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-21","0.62",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-08-22","0.35",,
