
Date / Time: Fri Mar 31 01:51:27 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 100
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
  -- 5 : 4 = 0.3306
  -- 5 : 5 = 0.2823
  -- 5 : 6 = 0.7427
  -- 5 : 7 = 0.5154
  -- 5 : 8 = 0.1165
  -- 5 : 9 = 0.9272
  -- 6 : 1 = 0.9463
  -- 6 : 2 = 0.5094
  -- 6 : 3 = 0.7986
  -- 6 : 4 = 0.8545
  -- 6 : 5 = 0.5936
  -- 6 : 6 = 0.8629
  -- 6 : 7 = 0.891
  -- 6 : 8 = 0.0041
  -- 6 : 9 = 0.9783
  -- 7 : 1 = 0.0369
  -- 7 : 2 = 0.898
  -- 7 : 3 = 0.4081
  -- 7 : 4 = 0.0057
  -- 7 : 5 = 0.8419
  -- 7 : 6 = 0.7873
  -- 7 : 7 = 0.3752
  -- 7 : 8 = 0.8798
  -- 7 : 9 = 0.2999
  -- 8 : 1 = 0.9977
  -- 8 : 2 = 0.8349
  -- 8 : 3 = 0.7559
  -- 8 : 4 = 0.1976
  -- 8 : 5 = 0.2817
  -- 8 : 6 = 0.7075
  -- 8 : 7 = 0.1031
  -- 8 : 8 = 0.4767
  -- 8 : 9 = 0.2991
  -- 9 : 1 = 0.2154
  -- 9 : 2 = 0.8868
  -- 9 : 3 = 0.519
  -- 9 : 4 = 0.0911
  -- 9 : 5 = 0.5707
  -- 9 : 6 = 0.7166
  -- 9 : 7 = 0.3057
  -- 9 : 8 = 0.2007
  -- 9 : 9 = 0.1092
  -- 10 : 1 = 0.3295
  -- 10 : 2 = 0.1839
  -- 10 : 3 = 0.2733
  -- 10 : 4 = 0.9205
  -- 10 : 5 = 0.125
  -- 10 : 6 = 0.31
  -- 10 : 7 = 0.1352
  -- 10 : 8 = 0.169
  -- 10 : 9 = 0.4441
  Inner Net 2
  -- 1 : 1 = -0.118334
  -- 1 : 2 = -0.0388
  -- 2 : 1 = 0.135282
  -- 2 : 2 = 0.3154
  -- 3 : 1 = 0.1228
  -- 3 : 2 = 0.3601
  -- 4 : 1 = 0.3655
  -- 4 : 2 = -0.194722
  -- 5 : 1 = 0.1632
  -- 5 : 2 = 0.4966
  -- 6 : 1 = 0.4431
  -- 6 : 2 = 0.2885
  -- 7 : 1 = -0.0658163
  -- 7 : 2 = -0.1085
  -- 8 : 1 = -0.0426856
  -- 8 : 2 = 0.3796
  -- 9 : 1 = -0.111545
  -- 9 : 2 = 0.3764
Out\Act	False		True
False	0.81009	0.0318896	0.84198
True	0.116611	0.0414089	0.15802
	0.926702	0.0732984
	Accuracy [ (tp + tn) / testSize ]: 0.851499
	Precision [ tp / (tp + fp) ]:      0.56129
	Sensitivity [ tp / (tp + fn) ]:    0.261261
	Specificity [ tn / (tn + fp) ]:    0.961582
	F-Score [ 2tp / (2tp + fp + fn) ]: 0.35729
Particle (0):: Fit: 0.941773	PB: 0.941773	LB: 182.245	GB: 182.245	Conf: 1.86766	Pts: 110198
Particle (2):: Fit: 1.04083	PB: 1.04083	LB: 182.245	GB: 182.245	Conf: 1.98564	Pts: 120198
Particle (3):: Fit: 1.00753	PB: 1.00753	LB: 182.245	GB: 182.245	Conf: 1.98618	Pts: 55198
Particle (6):: Fit: 0.962291	PB: 0.962291	LB: 182.245	GB: 182.245	Conf: 2	Pts: 55198
Particle (12):: Fit: 1.76996e-006	PB: 1.76996e-006	LB: 166.706	GB: 182.245	Conf: 1.9374	Pts: 55198
Particle (15):: Fit: 0.000557698	PB: 0.000557698	LB: 166.706	GB: 182.245	Conf: 0.739377	Pts: 55198
Particle (17):: Fit: 0.956108	PB: 0.956108	LB: 166.706	GB: 182.245	Conf: 0.452029	Pts: 55197
Particle (20):: Fit: 0.939701	PB: 0.939701	LB: 166.706	GB: 182.245	Conf: 2	Pts: 55198
Particle (21):: Fit: 0.996082	PB: 0.996082	LB: 0.996082	GB: 182.245	Conf: 2	Pts: 90198
Particle (23):: Fit: 0.973567	PB: 0.973567	LB: 0.996082	GB: 182.245	Conf: 2	Pts: 55198
Particle (25):: Fit: 0.003067	PB: 0.003067	LB: 0.996082	GB: 182.245	Conf: 1.16175	Pts: 55198
Particle (27):: Fit: 0.968928	PB: 0.968928	LB: 1.02984	GB: 182.245	Conf: 1.98333	Pts: 55198
Particle (28):: Fit: 1.83956e-006	PB: 1.83956e-006	LB: 1.02984	GB: 182.245	Conf: 2	Pts: 55198
Particle (30):: Fit: 0.957401	PB: 0.957401	LB: 1.02984	GB: 182.245	Conf: 1.81507	Pts: 55198
Particle (33):: Fit: 0.973567	PB: 0.973567	LB: 1.02984	GB: 182.245	Conf: 2	Pts: 55198
Particle (35):: Fit: 1.02407	PB: 1.02407	LB: 128.841	GB: 182.245	Conf: 1.52049	Pts: 55198
Particle (37):: Fit: 1.88691e-006	PB: 1.88691e-006	LB: 128.841	GB: 182.245	Conf: 2	Pts: 55198
Particle (40):: Fit: 1.74572e-006	PB: 1.74572e-006	LB: 128.841	GB: 182.245	Conf: 0.869594	Pts: 55198
Particle (41):: Fit: 0.988475	PB: 0.988475	LB: 128.841	GB: 182.245	Conf: 1.25767	Pts: 55198
Particle (42):: Fit: 0.000656425	PB: 0.000656425	LB: 128.841	GB: 182.245	Conf: 0.509224	Pts: 60198
Particle (43):: Fit: 1.02976	PB: 1.02976	LB: 128.841	GB: 182.245	Conf: 2	Pts: 80198
Particle (45):: Fit: 177.243	PB: 177.243	LB: 177.243	GB: 182.245	Conf: 1.82194	Pts: 120198
Particle (46):: Fit: 0.000646067	PB: 0.000646067	LB: 177.243	GB: 182.245	Conf: 0.626125	Pts: 50198
Particle (48):: Fit: 0.00314671	PB: 0.00314671	LB: 177.243	GB: 182.245	Conf: 1.96054	Pts: 50198
Particle (0):: Fit: 174.121	PB: 174.121	LB: 182.245	GB: 182.245	Conf: 1.88254	Pts: 110297
Particle (1):: Fit: 162.956	PB: 162.956	LB: 182.245	GB: 182.245	Conf: 1.71802	Pts: 110197
Particle (5):: Fit: 0.9521	PB: 0.9521	LB: 182.245	GB: 182.245	Conf: 1.41929	Pts: 55197
Particle (7):: Fit: 0.984831	PB: 0.984831	LB: 182.245	GB: 182.245	Conf: 2	Pts: 65197
Particle (8):: Fit: 0.961989	PB: 0.961989	LB: 182.245	GB: 182.245	Conf: 1.93381	Pts: 55197
Particle (13):: Fit: 0.966548	PB: 0.966548	LB: 166.706	GB: 182.245	Conf: 1.89411	Pts: 65197
Particle (20):: Fit: 0.962291	PB: 0.962291	LB: 166.706	GB: 182.245	Conf: 2	Pts: 55297
Particle (28):: Fit: 0.928386	PB: 0.928386	LB: 1.02984	GB: 182.245	Conf: 2	Pts: 55297
Particle (30):: Fit: 0.972012	PB: 0.972012	LB: 1.02984	GB: 182.245	Conf: 1.88222	Pts: 55297
Particle (34):: Fit: 0.964443	PB: 0.964443	LB: 128.841	GB: 182.245	Conf: 1.65826	Pts: 65197
Particle (37):: Fit: 0.984831	PB: 0.984831	LB: 128.841	GB: 182.245	Conf: 2	Pts: 55297
Particle (38):: Fit: 0.996082	PB: 0.996082	LB: 128.841	GB: 182.245	Conf: 2	Pts: 55197
Particle (40):: Fit: 0.967422	PB: 0.967422	LB: 177.243	GB: 182.245	Conf: 0.817654	Pts: 55297
Particle (47):: Fit: 174.585	PB: 174.585	LB: 177.243	GB: 182.245	Conf: 1.89928	Pts: 50197
Particle (5):: Fit: 1.00755	PB: 1.00755	LB: 182.245	GB: 182.245	Conf: 1.62115	Pts: 60296
Particle (12):: Fit: 0.928833	PB: 0.928833	LB: 166.706	GB: 182.245	Conf: 1.93319	Pts: 55296
Particle (18):: Fit: 1.83956e-006	PB: 1.83956e-006	LB: 166.706	GB: 182.245	Conf: 2	Pts: 60196
Particle (19):: Fit: 0.973567	PB: 0.973567	LB: 166.706	GB: 182.245	Conf: 2	Pts: 65196
Particle (29):: Fit: 1.00732	PB: 1.00732	LB: 1.02984	GB: 182.245	Conf: 2	Pts: 110196
Particle (32):: Fit: 0.962291	PB: 0.962291	LB: 1.02984	GB: 182.245	Conf: 2	Pts: 55196
Particle (42):: Fit: 0.943958	PB: 0.943958	LB: 177.243	GB: 182.245	Conf: 0.730918	Pts: 60295
Particle (46):: Fit: 0.226173	PB: 0.226173	LB: 177.243	GB: 182.245	Conf: 1.00078	Pts: 50296
Particle (48):: Fit: 0.946292	PB: 0.946292	LB: 177.243	GB: 182.245	Conf: 1.94273	Pts: 50296
Particle (10):: Fit: 0.980305	PB: 0.980305	LB: 0.985205	GB: 182.245	Conf: 1.98321	Pts: 80195
Particle (14):: Fit: 167.772	PB: 167.772	LB: 167.772	GB: 182.245	Conf: 1.90592	Pts: 150195
Particle (18):: Fit: 0.939701	PB: 0.939701	LB: 167.772	GB: 182.245	Conf: 2	Pts: 60295
Particle (28):: Fit: 0.996082	PB: 0.996082	LB: 1.02984	GB: 182.245	Conf: 2	Pts: 55395
Particle (30):: Fit: 1.03009	PB: 1.03009	LB: 1.03009	GB: 182.245	Conf: 1.87409	Pts: 100395
Particle (42):: Fit: 0.977963	PB: 0.977963	LB: 177.243	GB: 182.245	Conf: 0.846329	Pts: 60394
Particle (43):: Fit: 179.631	PB: 179.631	LB: 179.631	GB: 182.245	Conf: 1.98591	Pts: 130295
Particle (47):: Fit: 180.04	PB: 180.04	LB: 180.04	GB: 182.245	Conf: 1.73049	Pts: 85295
Particle (49):: Fit: 1.01855	PB: 1.01855	LB: 182.245	GB: 182.245	Conf: 2	Pts: 50195
Particle (6):: Fit: 0.973567	PB: 0.973567	LB: 182.245	GB: 182.245	Conf: 2	Pts: 55294
Particle (10):: Fit: 0.996082	PB: 0.996082	LB: 167.772	GB: 182.245	Conf: 2	Pts: 80294
Particle (15):: Fit: 0.975232	PB: 0.975232	LB: 167.772	GB: 182.245	Conf: 0.731368	Pts: 55294
Particle (22):: Fit: 0.951649	PB: 0.951649	LB: 0.996082	GB: 182.245	Conf: 1.96776	Pts: 55194
Particle (30):: Fit: 169.755	PB: 169.755	LB: 169.755	GB: 182.245	Conf: 1.89584	Pts: 150494
Particle (46):: Fit: 0.255059	PB: 0.255059	LB: 180.04	GB: 182.245	Conf: 0.908864	Pts: 50394
Particle (48):: Fit: 0.962291	PB: 0.962291	LB: 180.04	GB: 182.245	Conf: 2	Pts: 50394
Particle (1):: Fit: 166.759	PB: 166.759	LB: 182.245	GB: 182.245	Conf: 1.58998	Pts: 110293
Particle (7):: Fit: 1.00732	PB: 1.00732	LB: 182.245	GB: 182.245	Conf: 2	Pts: 65293
Particle (12):: Fit: 0.945986	PB: 0.945986	LB: 167.772	GB: 182.245	Conf: 1.98877	Pts: 55393
Particle (13):: Fit: 171.535	PB: 171.535	LB: 171.535	GB: 182.245	Conf: 1.93628	Pts: 110293
Particle (15):: Fit: 140.412	PB: 140.412	LB: 171.535	GB: 182.245	Conf: 0.561306	Pts: 55393
Particle (16):: Fit: 170.492	PB: 170.492	LB: 171.535	GB: 182.245	Conf: 1.18192	Pts: 115193
Particle (24):: Fit: 1.04677	PB: 1.04677	LB: 1.04677	GB: 182.245	Conf: 0.950565	Pts: 110192
Particle (27):: Fit: 0.973628	PB: 0.973628	LB: 169.755	GB: 182.245	Conf: 1.98064	Pts: 55293
Particle (42):: Fit: 1.00176	PB: 1.00176	LB: 180.04	GB: 182.245	Conf: 0.790905	Pts: 60492
Particle (49):: Fit: 1.05216	PB: 1.05216	LB: 182.245	GB: 182.245	Conf: 2	Pts: 50293
Particle (5):: Fit: 180.704	PB: 180.704	LB: 182.245	GB: 182.245	Conf: 1.33735	Pts: 65392
Particle (7):: Fit: 1.02976	PB: 1.02976	LB: 182.245	GB: 182.245	Conf: 2	Pts: 65392
Particle (12):: Fit: 0.971498	PB: 0.971498	LB: 171.535	GB: 182.245	Conf: 1.96369	Pts: 55492
Particle (13):: Fit: 178.009	PB: 178.009	LB: 178.009	GB: 182.245	Conf: 1.90342	Pts: 150392
Particle (20):: Fit: 0.984831	PB: 0.984831	LB: 170.492	GB: 182.245	Conf: 2	Pts: 55392
Particle (38):: Fit: 1.01855	PB: 1.01855	LB: 179.631	GB: 182.245	Conf: 2	Pts: 55292
Particle (41):: Fit: 1.01192	PB: 1.01192	LB: 179.631	GB: 182.245	Conf: 1.23932	Pts: 55292
Particle (9):: Fit: 0.962291	PB: 0.962291	LB: 180.704	GB: 182.245	Conf: 2	Pts: 75191
Particle (11):: Fit: 0.951572	PB: 0.951572	LB: 178.009	GB: 182.245	Conf: 1.95895	Pts: 55191
Particle (12):: Fit: 168.109	PB: 168.109	LB: 178.009	GB: 182.245	Conf: 1.98575	Pts: 55591
Particle (15):: Fit: 143.632	PB: 143.632	LB: 178.009	GB: 182.245	Conf: 0.92105	Pts: 55491
Particle (18):: Fit: 0.962291	PB: 0.962291	LB: 170.492	GB: 182.245	Conf: 2	Pts: 60391
Particle (35):: Fit: 176.668	PB: 176.668	LB: 176.668	GB: 182.245	Conf: 1.65822	Pts: 95291
Particle (19):: Fit: 0.984831	PB: 0.984831	LB: 170.492	GB: 182.245	Conf: 2	Pts: 65290
Particle (44):: Fit: 1.01389	PB: 1.01389	LB: 180.04	GB: 182.245	Conf: 0.577131	Pts: 50189
