
Date / Time: Thu Mar 30 14:21:26 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 2
 - 10
 - 4
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (24):: Fit: 10.2349	PB: 10.2349	LB: 10.2349	GB: 14.5239	Conf: 0.584721	Pts: 125198
Particle (25):: Fit: 2.40345	PB: 2.40345	LB: 10.2349	GB: 14.5239	Conf: 0.357606	Pts: 55198
Particle (26):: Fit: 8.65593	PB: 8.65593	LB: 10.2349	GB: 14.5239	Conf: 0.843239	Pts: 60198
Particle (27):: Fit: 11.2845	PB: 11.2845	LB: 11.2845	GB: 14.5239	Conf: 0.0201991	Pts: 100198
Particle (30):: Fit: 4.07974	PB: 4.07974	LB: 11.7445	GB: 14.5239	Conf: 0.800366	Pts: 60198
Particle (31):: Fit: 3.55313	PB: 3.55313	LB: 11.7445	GB: 14.5239	Conf: 0.614826	Pts: 55198
Particle (32):: Fit: 7.23768	PB: 7.23768	LB: 11.7445	GB: 14.5239	Conf: 0.399874	Pts: 70198
Particle (35):: Fit: 2.78291	PB: 2.78291	LB: 11.7445	GB: 14.5239	Conf: 0.422021	Pts: 55198
Particle (37):: Fit: 3.54821	PB: 3.54821	LB: 11.7445	GB: 14.5239	Conf: 0.511849	Pts: 55198
Particle (43):: Fit: 8.73012	PB: 8.73012	LB: 11.7357	GB: 14.5239	Conf: 0.572095	Pts: 50198
Particle (47):: Fit: 11.7297	PB: 11.7297	LB: 11.7297	GB: 14.5239	Conf: 0.548374	Pts: 55198
Particle (0):: Fit: 3.56565	PB: 3.56565	LB: 13.262	GB: 14.5239	Conf: 0.0719917	Pts: 110196
Particle (5):: Fit: 5.63141	PB: 5.63141	LB: 13.262	GB: 14.5239	Conf: 0.770304	Pts: 55197
Particle (9):: Fit: 13.0323	PB: 13.0323	LB: 14.5239	GB: 14.5239	Conf: 0.310503	Pts: 55197
Particle (17):: Fit: 10.1883	PB: 10.1883	LB: 11.7464	GB: 14.5239	Conf: 0.857755	Pts: 75197
Particle (21):: Fit: 4.34232	PB: 4.34232	LB: 10.2349	GB: 14.5239	Conf: 0.954116	Pts: 55297
Particle (25):: Fit: 3.49485	PB: 3.49485	LB: 11.2845	GB: 14.5239	Conf: 0.885554	Pts: 55297
Particle (28):: Fit: 11.722	PB: 11.722	LB: 11.722	GB: 14.5239	Conf: 0.518406	Pts: 125197
Particle (29):: Fit: 10.1916	PB: 10.1916	LB: 11.7445	GB: 14.5239	Conf: 0.849098	Pts: 55197
Particle (31):: Fit: 3.9034	PB: 3.9034	LB: 11.7445	GB: 14.5239	Conf: 0.947809	Pts: 55297
Particle (35):: Fit: 3.52576	PB: 3.52576	LB: 11.7445	GB: 14.5239	Conf: 0.800958	Pts: 55297
Particle (39):: Fit: 11.6146	PB: 11.6146	LB: 11.7357	GB: 14.5239	Conf: 0.307091	Pts: 55197
Particle (40):: Fit: 11.7404	PB: 11.7404	LB: 11.7404	GB: 14.5239	Conf: 0.606142	Pts: 110197
Particle (44):: Fit: 3.95057	PB: 3.95057	LB: 11.7404	GB: 14.5239	Conf: 0.732868	Pts: 50197
Particle (46):: Fit: 10.1731	PB: 10.1731	LB: 11.7357	GB: 14.5239	Conf: 0.89342	Pts: 50197
Particle (49):: Fit: 10.2348	PB: 10.2348	LB: 13.262	GB: 14.5239	Conf: 0.619357	Pts: 50197
Particle (0):: Fit: 7.23767	PB: 7.23767	LB: 13.262	GB: 14.5239	Conf: 0.404183	Pts: 110295
Particle (5):: Fit: 11.7382	PB: 11.7382	LB: 13.262	GB: 14.5239	Conf: 0.591213	Pts: 55296
