
Date / Time: Thu Mar 30 23:50:48 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
  -- 9 : 5 = 0.8229
  -- 9 : 6 = 0.571
  -- 9 : 7 = 0.9547
  -- 9 : 8 = 0.3578
  -- 9 : 9 = 0.961
  -- 9 : 10 = 0.2659
  -- 10 : 1 = 0.5611
  -- 10 : 2 = 0.5319
  -- 10 : 3 = 0.7833
  -- 10 : 4 = 0.1471
  -- 10 : 5 = 0.0651
  -- 10 : 6 = 0.6003
  -- 10 : 7 = 0.431
  -- 10 : 8 = 0.9721
  -- 10 : 9 = 0.5215
  -- 10 : 10 = 0.2845
  Inner Net 2
  -- 1 : 1 = -0.1032
  -- 1 : 2 = 0.3829
  -- 2 : 1 = -0.057502
  -- 2 : 2 = 0.2545
  -- 3 : 1 = 0.111
  -- 3 : 2 = 0.122
  -- 4 : 1 = -0.1305
  -- 4 : 2 = 0.4667
  -- 5 : 1 = 0.250698
  -- 5 : 2 = -0.200286
  -- 6 : 1 = -0.1268
  -- 6 : 2 = 0.4619
  -- 7 : 1 = 0.0115108
  -- 7 : 2 = -0.1408
  -- 8 : 1 = -0.134271
  -- 8 : 2 = -0.0454
  -- 9 : 1 = -0.0620269
  -- 9 : 2 = 0.413
  -- 10 : 1 = -0.1104
  -- 10 : 2 = -0.0591588
Out\Act	False		True
False	0.715374	0.126606	0.84198
True	0.0985245	0.0594955	0.15802
	0.813898	0.186102
	Accuracy [ (tp + tn) / testSize ]: 0.774869
	Precision [ tp / (tp + fp) ]:      0.318878
	Sensitivity [ tp / (tp + fn) ]:    0.375375
	Specificity [ tn / (tn + fp) ]:    0.849153
	F-Score [ 2tp / (2tp + fp + fn) ]: 0.345304
Particle (0):: Fit: 28.6962	PB: 28.6962	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 110198
Particle (2):: Fit: 25.9184	PB: 25.9184	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55198
Particle (3):: Fit: 31.298	PB: 31.298	LB: 76.1769	GB: 76.1769	Conf: 1.69436	Pts: 60198
Particle (5):: Fit: 31.232	PB: 31.232	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55198
Particle (6):: Fit: 31.232	PB: 31.232	LB: 68.0556	GB: 76.1769	Conf: 2	Pts: 55198
Particle (7):: Fit: 38.3098	PB: 38.3098	LB: 68.0556	GB: 76.1769	Conf: 1.22837	Pts: 65198
Particle (9):: Fit: 69.0822	PB: 69.0822	LB: 69.0822	GB: 76.1769	Conf: 0.916308	Pts: 95198
Particle (11):: Fit: 61.8935	PB: 61.8935	LB: 69.0822	GB: 76.1769	Conf: 0.68816	Pts: 60198
Particle (13):: Fit: 62.3697	PB: 62.3697	LB: 69.0822	GB: 76.1769	Conf: 1.89801	Pts: 70198
Particle (14):: Fit: 31.7292	PB: 31.7292	LB: 68.0556	GB: 76.1769	Conf: 1.0965	Pts: 55198
Particle (16):: Fit: 31.484	PB: 31.484	LB: 62.3697	GB: 76.1769	Conf: 1.61132	Pts: 55198
Particle (17):: Fit: 35.8241	PB: 35.8241	LB: 62.3697	GB: 76.1769	Conf: 2	Pts: 55198
Particle (20):: Fit: 29.042	PB: 29.042	LB: 39.3403	GB: 76.1769	Conf: 0.354393	Pts: 55197
Particle (21):: Fit: 33.5929	PB: 33.5929	LB: 39.3403	GB: 76.1769	Conf: 2	Pts: 65198
Particle (22):: Fit: 31.6653	PB: 31.6653	LB: 39.3403	GB: 76.1769	Conf: 0.233582	Pts: 55198
Particle (24):: Fit: 28.9956	PB: 28.9956	LB: 36.7177	GB: 76.1769	Conf: 0.741278	Pts: 55198
Particle (26):: Fit: 25.8682	PB: 25.8682	LB: 36.7177	GB: 76.1769	Conf: 1.8118	Pts: 55198
Particle (27):: Fit: 31.232	PB: 31.232	LB: 36.7177	GB: 76.1769	Conf: 2	Pts: 60198
Particle (30):: Fit: 28.586	PB: 28.586	LB: 36.7177	GB: 76.1769	Conf: 1.87213	Pts: 55198
Particle (31):: Fit: 34.266	PB: 34.266	LB: 36.7177	GB: 76.1769	Conf: 1.35591	Pts: 65198
